id_compra,montante,loja,data_hora,id_cliente
80,307.60,"Fórum Aveiro","2013-11-23 12:07:55",1888
81,75.00,"Estação Viana","2013-08-25 00:28:09",3958
82,158.60,Aeroporto,"2013-05-14 11:13:40",3897
83,201.60,"Nosso Shopping","2015-12-12 07:19:25",1877
84,334.50,"Évora Plaza","2017-10-22 07:47:14",2207
85,650.30,Aeroporto,"2017-02-18 16:22:33",1139
86,332.00,"Estação Viana","2019-01-14 15:04:33",3544
87,340.60,"Nosso Shopping","2014-07-24 13:15:11",6213
88,323.20,"Vasgo da Gama","2014-04-13 10:35:35",4295
89,351.70,"Santa Catarina","2015-06-12 05:54:52",2706
90,298.30,"Fórum Coimbra","2014-01-16 23:37:33",633
91,156.80,"Gaia Shopping","2013-05-02 09:14:47",315
92,461.20,"Nosso Shopping","2018-11-26 03:48:17",1979
93,230.20,Colombo,"2014-12-07 03:19:44",1374
94,117.80,"Évora Plaza","2014-06-20 10:33:38",3236
95,29.00,"Santa Catarina","2015-04-27 02:56:25",4723
96,700.00,"Braga Parque","2017-02-20 03:40:34",5887
97,136.30,"Fórum Coimbra","2019-03-10 05:15:47",6203
98,635.00,"Estação Viana","2017-02-07 16:04:50",992
99,236.80,"CC Setúbal","2018-11-11 18:57:13",2107
100,143.60,"Norte Shopping","2019-06-04 02:51:55",5005
101,287.50,"Leiria Shopping","2018-03-20 07:33:54",962
102,541.50,"Palácio do Gelo","2017-06-26 12:37:14",4838
103,179.20,"Évora Plaza","2015-12-23 16:46:48",3554
104,486.00,"Santa Catarina","2015-10-20 00:15:27",5127
105,103.80,"Vasgo da Gama","2015-12-26 18:42:00",1276
106,637.20,Aeroporto,"2017-02-20 17:48:01",3831
107,310.10,"Vasgo da Gama","2019-08-15 15:15:39",6207
108,161.80,"Estação Viana","2015-12-16 22:08:46",33
109,671.00,"Fórum Coimbra","2018-12-28 03:23:28",3349
110,133.80,"Leiria Shopping","2019-06-16 10:39:59",604
111,863.70,"Leiria Shopping","2019-08-11 15:44:19",1920
112,245.80,Aeroporto,"2019-10-28 16:54:24",4537
113,287.10,"CC Setúbal","2016-06-13 11:27:33",4617
114,94.10,"Palácio do Gelo","2016-05-08 23:58:37",2134
115,338.70,"Palácio do Gelo","2013-07-18 19:49:11",349
116,323.20,"Santa Catarina","2014-11-25 22:39:43",5526
117,307.60,"Estação Viana","2019-04-03 16:50:01",3736
118,255.70,"Santa Catarina","2018-09-02 05:32:15",828
119,722.60,"Braga Parque","2015-04-20 21:45:34",4846
120,188.80,Aeroporto,"2013-05-15 20:39:44",2151
121,132.70,Colombo,"2013-02-15 00:55:41",83
122,259.90,"CC Setúbal","2015-03-15 09:42:52",4007
123,339.90,"Nosso Shopping","2014-11-09 17:29:11",4485
124,376.00,Aeroporto,"2013-12-15 08:59:45",5187
125,255.90,"Estação Viana","2016-08-29 00:38:05",1352
126,442.20,"Norte Shopping","2018-04-06 12:19:30",5896
127,255.20,"Nosso Shopping","2016-06-15 02:59:42",1882
128,547.50,"Santa Catarina","2015-12-06 00:01:30",2070
129,404.80,"Vasgo da Gama","2014-05-05 04:27:42",5045
130,572.50,"CC Setúbal","2013-05-09 04:50:11",2886
131,419.40,"Évora Plaza","2015-06-12 22:18:19",3362
132,538.80,"Palácio do Gelo","2014-02-15 06:39:22",1301
133,211.50,"Gaia Shopping","2018-11-14 09:37:55",1151
134,202.40,"Norte Shopping","2019-07-24 19:45:01",4072
135,159.10,"Nosso Shopping","2018-11-27 08:27:25",3400
136,271.40,Colombo,"2015-11-13 09:18:37",59
137,405.60,"Vasgo da Gama","2018-02-03 12:05:50",834
138,299.80,Colombo,"2019-04-05 14:39:34",2902
139,385.20,"Braga Parque","2017-05-26 00:04:53",3315
140,273.40,"CC Setúbal","2014-08-28 12:34:51",3017
141,254.20,"Santa Catarina","2016-02-06 00:32:25",3927
142,191.20,"Palácio do Gelo","2015-04-13 14:17:33",200
143,428.80,"Fórum Coimbra","2014-11-04 02:15:57",875
144,126.00,"Évora Plaza","2014-10-25 12:00:17",2666
145,257.10,"Palácio do Gelo","2017-02-27 11:07:57",4282
146,449.20,"Fórum Aveiro","2016-11-23 06:26:09",4088
147,255.80,"Évora Plaza","2013-04-13 18:09:17",4867
148,369.60,"Estação Viana","2014-09-22 08:08:29",3648
149,400.50,"Fórum Coimbra","2017-04-15 12:47:03",4748
150,568.00,"Fórum Algarve","2017-09-23 12:32:56",5001
151,287.30,"Fórum Algarve","2018-03-06 02:15:05",5282
152,339.80,"Santa Catarina","2018-11-05 12:58:21",1680
153,367.80,"Braga Parque","2019-07-28 23:13:52",2624
154,324.80,"Fórum Aveiro","2013-12-04 09:17:10",2856
155,176.50,"Norte Shopping","2014-09-25 08:51:02",525
156,371.40,Colombo,"2015-02-24 13:27:04",3290
157,393.50,"Leiria Shopping","2017-11-05 18:53:41",6089
158,191.40,"Évora Plaza","2017-01-16 15:33:41",5682
159,793.00,"Leiria Shopping","2014-12-09 20:33:42",2471
160,428.40,"Fórum Coimbra","2016-09-03 06:11:05",4446
161,229.80,"Estação Viana","2013-04-09 08:28:36",1890
162,428.00,"Fórum Algarve","2019-05-16 20:24:24",277
163,509.70,"Nosso Shopping","2014-12-23 11:37:49",4736
164,519.30,Amoreiras,"2018-11-02 08:00:41",2215
165,515.60,"Vasgo da Gama","2013-05-05 12:58:39",1506
166,227.00,"Vasgo da Gama","2013-11-01 09:58:37",1155
167,452.30,Colombo,"2019-06-26 07:39:25",941
168,534.90,Amoreiras,"2015-08-05 15:59:58",3820
169,741.20,Amoreiras,"2019-04-21 07:43:38",1754
170,268.30,"Leiria Shopping","2015-12-06 06:23:25",2551
171,379.20,"Gaia Shopping","2018-02-12 11:42:59",4006
172,538.10,Amoreiras,"2015-03-19 06:21:48",174
173,206.80,"Fórum Aveiro","2018-02-07 21:40:37",1896
174,353.20,"Fórum Algarve","2018-03-26 09:21:38",4609
175,161.50,"Santa Catarina","2015-11-04 17:54:20",6183
176,615.80,Colombo,"2017-03-24 08:39:17",5385
177,215.60,"Norte Shopping","2014-06-14 19:22:57",2010
178,70.50,"Fórum Coimbra","2015-02-28 23:56:53",1111
179,142.70,"Nosso Shopping","2016-01-03 00:34:02",1486
180,480.40,"Palácio do Gelo","2018-09-04 14:14:46",4914
181,418.10,"Leiria Shopping","2019-07-06 11:16:50",1853
182,583.80,"Norte Shopping","2013-01-14 01:03:33",1616
183,253.50,"CC Setúbal","2015-01-15 20:07:50",737
184,464.20,"Nosso Shopping","2018-12-12 08:27:54",3616
185,355.50,Aeroporto,"2015-10-04 21:12:41",5235
186,120.40,"Fórum Algarve","2014-12-09 10:02:53",6015
187,734.40,"Fórum Aveiro","2017-08-16 01:02:06",2397
188,484.00,Colombo,"2016-11-10 11:36:53",2886
189,286.00,"Nosso Shopping","2014-07-11 12:30:48",1736
190,153.80,"Fórum Aveiro","2017-08-25 03:56:38",4605
191,286.60,Amoreiras,"2016-09-29 19:07:03",4891
192,309.90,"Santa Catarina","2017-04-25 15:44:18",4516
193,232.40,Aeroporto,"2016-06-16 11:41:50",2228
194,123.60,"Braga Parque","2019-03-16 08:49:41",2722
195,557.00,"Fórum Aveiro","2017-06-01 02:11:19",3973
196,285.00,"Santa Catarina","2019-12-29 17:12:04",3129
197,320.20,"Vasgo da Gama","2013-01-27 18:07:49",268
198,449.70,"Fórum Coimbra","2018-08-16 18:02:23",836
199,430.20,"Vasgo da Gama","2015-07-10 17:38:48",2968
200,839.90,"Gaia Shopping","2015-03-28 21:39:28",5608
201,228.40,"Fórum Aveiro","2019-05-21 03:24:29",3685
202,318.90,"Fórum Aveiro","2013-02-10 19:35:32",5037
203,252.60,"Gaia Shopping","2014-12-15 17:18:47",5049
204,397.30,"Norte Shopping","2016-03-03 12:55:51",6132
205,123.40,"Nosso Shopping","2014-05-07 10:13:10",1481
206,650.90,"Estação Viana","2018-11-07 22:18:33",6227
207,270.20,"Fórum Algarve","2019-07-16 18:45:50",3068
208,303.60,"Braga Parque","2014-02-16 00:18:31",5995
209,286.30,Aeroporto,"2014-05-13 06:35:47",3696
210,106.80,"Palácio do Gelo","2019-02-08 22:55:31",5105
211,68.40,"Estação Viana","2014-09-01 11:28:20",1136
212,161.40,"Leiria Shopping","2019-02-23 20:20:34",1004
213,686.40,Aeroporto,"2019-11-18 03:32:50",2411
214,288.50,"Santa Catarina","2015-10-26 02:33:15",186
215,523.00,"Estação Viana","2017-12-02 16:48:16",3957
216,329.00,"CC Setúbal","2014-05-02 01:17:25",1465
217,204.60,"Fórum Aveiro","2016-02-09 08:52:17",6168
218,124.20,"Leiria Shopping","2017-09-07 11:05:51",4661
219,104.90,"Fórum Coimbra","2013-03-16 01:05:20",5952
220,327.20,"Vasgo da Gama","2013-11-27 21:29:49",219
221,263.00,"Gaia Shopping","2013-06-22 20:05:40",2231
222,500.70,"Santa Catarina","2015-07-18 14:46:44",2871
223,421.80,"Leiria Shopping","2017-11-05 14:15:05",4540
224,469.80,"Gaia Shopping","2018-11-10 15:32:57",1811
225,163.80,"Fórum Aveiro","2019-04-09 12:08:45",3770
226,430.50,"Évora Plaza","2016-10-03 01:01:02",3439
227,317.60,"Braga Parque","2015-08-08 02:39:06",3439
228,310.90,"Vasgo da Gama","2014-06-03 04:06:11",807
229,265.30,"Fórum Aveiro","2018-05-04 03:27:06",2654
230,394.80,"Évora Plaza","2014-03-08 17:06:42",1836
231,259.20,"Fórum Algarve","2019-11-24 10:34:08",5462
232,512.90,"Leiria Shopping","2016-02-06 00:14:07",4561
233,227.80,"Vasgo da Gama","2013-01-28 07:30:59",3842
234,375.60,"Leiria Shopping","2019-03-21 13:31:20",5480
235,321.40,"Santa Catarina","2017-06-10 05:21:45",5617
236,415.20,"CC Setúbal","2018-10-04 22:05:08",3423
237,250.40,"Braga Parque","2016-10-13 15:12:13",3791
238,98.10,"Santa Catarina","2013-06-16 15:25:23",689
239,346.20,"Fórum Aveiro","2017-10-06 16:56:25",66
240,663.00,"Palácio do Gelo","2017-03-07 05:06:37",33
241,549.00,"Fórum Coimbra","2018-01-09 05:02:54",2792
242,325.80,Amoreiras,"2017-12-13 10:11:24",4259
243,605.00,"Gaia Shopping","2013-11-14 06:26:39",3455
244,211.90,Amoreiras,"2019-03-26 14:08:14",651
245,497.80,"Fórum Coimbra","2014-07-03 14:23:26",5059
246,184.20,"Fórum Algarve","2018-12-03 18:16:08",3102
247,474.00,"Fórum Aveiro","2017-05-22 04:39:47",2317
248,425.70,"Norte Shopping","2017-05-28 13:31:27",157
249,231.40,"Braga Parque","2016-04-07 00:16:45",2303
250,244.50,"Norte Shopping","2014-11-12 16:46:58",2603
251,81.90,"Évora Plaza","2013-12-16 03:34:10",2218
252,446.80,"Estação Viana","2018-01-29 15:50:55",216
253,241.50,"Évora Plaza","2016-12-29 13:07:41",4395
254,346.80,"Estação Viana","2016-09-17 12:31:18",2943
255,472.20,"Estação Viana","2014-03-07 15:44:36",1661
256,403.10,"Fórum Coimbra","2014-11-10 01:22:24",439
257,435.10,"Fórum Coimbra","2018-10-29 14:09:21",1188
258,290.00,"Norte Shopping","2016-03-09 02:34:35",2389
259,218.50,"Norte Shopping","2014-05-23 09:52:57",2545
260,531.10,"Évora Plaza","2016-04-25 06:05:28",5308
261,287.80,"Fórum Aveiro","2013-04-20 01:02:53",105
262,229.70,"Gaia Shopping","2019-10-23 12:05:16",5113
263,656.20,Aeroporto,"2017-04-07 14:21:01",1590
264,296.20,"Fórum Coimbra","2016-06-06 23:02:17",1945
265,591.60,"Nosso Shopping","2019-04-17 12:58:53",2583
266,113.00,"Vasgo da Gama","2015-06-17 08:08:01",5729
267,770.10,"Estação Viana","2018-08-21 05:45:24",1281
268,183.80,"CC Setúbal","2019-05-27 15:49:59",3978
269,280.60,"Braga Parque","2017-06-22 17:43:28",5081
270,524.20,"Vasgo da Gama","2015-12-07 02:24:05",516
271,129.80,"Leiria Shopping","2015-05-23 11:29:11",5666
272,193.20,"CC Setúbal","2014-01-02 16:05:09",3801
273,338.80,"Estação Viana","2013-03-03 08:59:04",2908
274,539.90,"Braga Parque","2015-10-21 05:19:32",1226
275,333.50,"Norte Shopping","2013-09-05 16:33:55",4167
276,87.30,"Santa Catarina","2013-12-28 17:03:43",2835
277,167.20,"Leiria Shopping","2017-04-01 07:42:42",3733
278,87.00,"Nosso Shopping","2013-02-03 00:56:28",13
279,266.50,"Vasgo da Gama","2014-02-21 11:44:03",4223
280,202.70,"Palácio do Gelo","2013-10-02 14:17:12",831
281,116.70,"Santa Catarina","2014-11-05 03:27:11",4477
282,217.10,"Fórum Aveiro","2019-02-01 21:18:17",2670
283,250.80,"Braga Parque","2013-03-26 23:02:31",5590
284,502.20,"Gaia Shopping","2015-09-19 19:54:27",2429
285,404.20,"Vasgo da Gama","2016-04-22 05:20:39",3807
286,301.20,"Fórum Algarve","2013-08-29 00:32:53",902
287,240.80,Amoreiras,"2013-01-17 07:11:07",3915
288,203.00,"Norte Shopping","2015-08-16 05:33:42",4473
289,533.90,"Norte Shopping","2016-12-23 00:36:29",98
290,365.10,"Leiria Shopping","2017-02-28 08:31:47",2300
291,544.10,"Leiria Shopping","2016-03-23 06:58:37",939
292,414.90,Aeroporto,"2016-06-18 23:59:38",1888
293,406.10,"Leiria Shopping","2014-12-02 06:20:42",2299
294,126.60,"Fórum Coimbra","2017-03-14 20:15:09",897
295,316.50,"Évora Plaza","2017-05-10 19:57:10",2380
296,244.50,Colombo,"2018-11-01 21:40:57",155
297,108.20,Amoreiras,"2019-06-20 18:19:00",2848
298,297.10,"Leiria Shopping","2016-10-04 17:04:51",53
299,420.20,Colombo,"2019-04-27 02:10:16",1346
300,515.40,"Braga Parque","2015-04-15 05:32:24",4806
301,249.30,Colombo,"2018-08-14 03:12:08",1713
302,542.30,"Norte Shopping","2017-10-19 16:07:22",388
303,171.30,"Évora Plaza","2014-11-06 01:32:35",1255
304,250.00,"CC Setúbal","2013-06-12 02:31:37",867
305,89.10,"Fórum Aveiro","2015-07-02 01:32:06",1782
306,358.40,"Santa Catarina","2018-09-08 20:21:11",1097
307,56.80,"Palácio do Gelo","2014-12-15 12:14:41",3939
308,375.00,"Fórum Coimbra","2016-04-27 11:39:04",1897
309,415.70,"Fórum Coimbra","2013-06-09 07:05:10",4637
310,118.10,"Braga Parque","2013-08-10 05:25:09",311
311,211.90,"Fórum Algarve","2019-02-21 23:12:49",5129
312,217.20,"Vasgo da Gama","2015-06-10 08:08:41",3679
313,653.20,"Fórum Coimbra","2014-04-28 04:43:14",6047
314,443.80,"Estação Viana","2019-10-14 12:20:29",1860
315,506.60,"Santa Catarina","2013-01-27 01:06:40",4491
316,516.00,Colombo,"2015-09-23 07:39:24",3779
317,181.40,"Palácio do Gelo","2015-02-18 08:11:47",2999
318,310.30,"Braga Parque","2019-11-12 19:10:28",3932
319,111.60,"Fórum Aveiro","2015-08-28 18:44:27",320
320,259.60,"Estação Viana","2013-12-13 14:22:46",5068
321,330.60,Aeroporto,"2014-09-01 10:26:09",1852
322,265.20,"Évora Plaza","2019-05-02 15:07:12",1907
323,430.10,"CC Setúbal","2015-05-14 20:16:41",16
324,728.90,"Fórum Coimbra","2018-04-24 06:23:15",253
325,375.20,"Santa Catarina","2015-02-16 00:22:46",935
326,775.60,"Palácio do Gelo","2017-02-16 21:19:54",4120
327,270.30,"Estação Viana","2016-02-08 07:55:33",1362
328,543.90,"Leiria Shopping","2013-04-18 00:51:35",3622
329,79.00,"Gaia Shopping","2015-05-23 01:31:39",4831
330,493.70,"Santa Catarina","2019-09-18 01:47:34",1538
331,428.70,"Gaia Shopping","2019-07-28 00:16:22",283
332,559.20,"Leiria Shopping","2015-04-28 06:19:19",1936
333,386.00,"Norte Shopping","2015-04-24 20:30:08",5087
334,525.60,"Évora Plaza","2019-09-25 21:28:46",1908
335,221.90,"Santa Catarina","2014-10-16 22:49:47",4642
336,183.20,"Fórum Algarve","2017-02-01 05:00:13",1130
337,310.20,"Gaia Shopping","2019-02-12 22:59:21",207
338,395.30,"Gaia Shopping","2019-03-24 22:18:28",3965
339,742.80,"Fórum Coimbra","2013-05-10 09:34:52",5670
340,192.20,"Gaia Shopping","2015-03-28 08:02:23",5527
341,175.40,"Fórum Algarve","2016-03-17 12:55:16",148
342,243.70,"Norte Shopping","2013-06-08 00:58:28",2218
343,313.40,"Leiria Shopping","2016-11-12 00:23:09",1055
344,440.20,"Palácio do Gelo","2013-06-27 08:19:50",4841
345,609.00,"Leiria Shopping","2015-02-02 06:15:30",6091
346,165.00,"Fórum Aveiro","2016-02-09 07:14:15",2653
347,310.00,"Braga Parque","2013-09-27 23:35:00",4196
348,747.00,"Vasgo da Gama","2017-03-10 10:12:46",4100
349,272.60,Amoreiras,"2013-09-18 16:56:22",3168
350,478.80,"Fórum Algarve","2016-09-06 19:05:32",2567
351,115.80,"Fórum Coimbra","2014-09-29 10:13:07",5370
352,157.40,"CC Setúbal","2013-09-07 03:40:33",2443
353,240.70,"Leiria Shopping","2019-06-28 02:24:25",2784
354,352.10,"Nosso Shopping","2016-05-03 23:49:15",31
355,354.00,"Fórum Coimbra","2017-10-07 02:16:41",5339
356,372.10,"Vasgo da Gama","2019-08-13 07:24:03",3630
357,336.00,"Fórum Algarve","2015-12-02 14:44:33",3334
358,545.50,"Santa Catarina","2019-12-12 14:04:04",3498
359,275.00,"Fórum Aveiro","2016-12-22 20:50:37",5796
360,288.40,"Palácio do Gelo","2013-12-05 02:47:26",3411
361,490.60,"Vasgo da Gama","2013-05-06 10:42:58",660
362,432.90,"Estação Viana","2019-01-16 15:15:57",5951
363,447.80,"Estação Viana","2019-05-16 12:20:35",2886
364,441.40,"Gaia Shopping","2018-08-04 23:18:54",6154
365,295.00,"Fórum Coimbra","2019-07-02 15:20:17",4221
366,226.70,"Gaia Shopping","2014-04-11 23:35:52",5844
367,232.80,"Braga Parque","2019-09-01 15:08:14",6218
368,336.90,"Santa Catarina","2019-04-20 20:15:38",5178
369,857.40,Aeroporto,"2015-02-04 21:30:38",1167
370,215.60,"Norte Shopping","2017-07-13 21:51:17",527
371,136.20,"Estação Viana","2018-02-22 02:34:30",930
372,295.20,Colombo,"2013-02-19 10:21:51",2920
373,481.00,"Fórum Coimbra","2016-01-28 09:36:58",3855
374,364.90,"Estação Viana","2017-12-28 07:49:06",4124
375,119.60,"Évora Plaza","2017-06-18 08:51:50",6167
376,478.50,"Leiria Shopping","2018-04-05 16:12:32",3386
377,600.40,Colombo,"2019-09-15 00:42:56",140
378,461.70,"Leiria Shopping","2014-08-01 18:56:38",3493
379,491.40,"Nosso Shopping","2013-01-24 07:54:39",5767
380,194.30,Colombo,"2017-12-03 02:47:34",4585
381,191.00,Amoreiras,"2017-10-08 15:09:07",2039
382,729.40,"Fórum Aveiro","2014-06-01 18:28:45",4933
383,384.60,"CC Setúbal","2017-04-14 13:14:30",430
384,535.90,Aeroporto,"2016-08-31 22:53:34",1712
385,220.30,"Santa Catarina","2014-01-14 16:53:11",4011
386,92.50,"Leiria Shopping","2019-12-18 16:14:07",4339
387,645.40,"Gaia Shopping","2014-04-04 06:05:08",807
388,353.10,"Évora Plaza","2019-07-22 10:03:53",5662
389,247.40,Amoreiras,"2018-12-20 20:02:53",5228
390,297.20,"Vasgo da Gama","2015-01-08 09:36:08",1699
391,479.40,"Palácio do Gelo","2013-02-10 00:03:04",5891
392,440.40,"Norte Shopping","2014-05-18 00:56:48",5476
393,453.10,"CC Setúbal","2019-12-23 10:03:56",4998
394,33.20,"Palácio do Gelo","2013-11-03 17:41:50",2276
395,751.60,"Santa Catarina","2018-08-13 08:43:27",4885
396,161.00,"Braga Parque","2013-03-14 15:20:42",3686
397,427.40,"Norte Shopping","2014-01-07 22:46:40",250
398,127.80,"Palácio do Gelo","2013-02-28 22:16:43",3062
399,247.80,"Santa Catarina","2019-01-24 11:03:30",2144
400,494.20,Amoreiras,"2015-01-16 23:16:39",3671
401,119.90,"Évora Plaza","2019-09-27 03:33:10",1888
402,323.80,"Santa Catarina","2018-04-13 16:36:41",6088
403,126.20,Colombo,"2013-06-08 18:19:29",295
404,312.10,"Norte Shopping","2016-06-13 21:43:11",1321
405,243.80,"Fórum Algarve","2016-11-01 18:56:35",5735
406,600.00,"Vasgo da Gama","2014-08-11 20:15:54",4113
407,278.40,"Estação Viana","2017-01-27 09:25:14",3159
408,703.00,"Fórum Coimbra","2017-07-15 20:41:03",2980
409,269.50,Colombo,"2019-09-25 03:15:43",2946
410,422.20,"Fórum Aveiro","2017-08-16 10:22:29",1121
411,205.00,"Norte Shopping","2016-11-16 23:42:27",3320
412,153.80,"Fórum Aveiro","2016-12-07 06:11:54",6124
413,408.10,"Gaia Shopping","2013-02-24 18:32:59",6088
414,350.70,"Braga Parque","2015-10-27 12:59:08",1565
415,334.40,"CC Setúbal","2017-01-23 02:36:30",3913
416,182.40,"Fórum Aveiro","2017-08-08 20:03:32",4433
417,366.30,"Norte Shopping","2013-08-29 07:08:54",2475
418,166.60,"Santa Catarina","2019-03-24 05:41:03",4499
419,597.50,"Fórum Aveiro","2017-05-22 11:08:21",718
420,442.00,"Santa Catarina","2015-09-10 18:36:06",6034
421,267.60,"Santa Catarina","2018-04-24 12:16:43",4468
422,297.20,"Norte Shopping","2019-08-03 09:50:12",5132
423,12.80,"Fórum Coimbra","2017-12-13 11:10:40",3461
424,348.70,"Estação Viana","2018-12-01 14:56:11",2102
425,191.00,"Santa Catarina","2018-03-13 03:28:14",6216
426,401.80,"Évora Plaza","2017-03-07 00:23:11",3439
427,274.50,"Fórum Aveiro","2019-07-10 16:19:15",2579
428,423.10,Colombo,"2018-09-07 02:43:45",1643
429,230.40,"Estação Viana","2015-12-11 13:26:46",574
430,402.90,"Vasgo da Gama","2017-03-17 11:13:00",5938
431,225.00,"Fórum Algarve","2018-04-14 13:06:26",850
432,292.60,Colombo,"2013-02-18 10:00:03",97
433,542.90,"Leiria Shopping","2017-07-10 12:18:11",4346
434,528.40,"Gaia Shopping","2018-03-07 18:17:04",3170
435,152.20,"Estação Viana","2015-05-15 02:12:44",3481
436,103.00,"Palácio do Gelo","2015-05-02 08:31:52",4720
437,277.80,"CC Setúbal","2014-04-30 05:46:14",456
438,353.50,"Nosso Shopping","2016-04-10 23:07:49",5062
439,362.40,"Nosso Shopping","2014-04-17 03:29:29",222
440,233.70,"Estação Viana","2015-05-20 15:40:05",1996
441,553.70,"Santa Catarina","2018-05-30 15:47:34",2059
442,615.90,"Gaia Shopping","2016-06-15 22:29:51",886
443,508.50,"Nosso Shopping","2016-07-18 12:27:28",4473
444,326.90,"Gaia Shopping","2014-06-17 06:00:09",1397
445,420.00,Amoreiras,"2013-02-12 01:20:29",4791
446,276.70,"Fórum Aveiro","2017-10-21 22:42:58",2605
